"﻿STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE"
"42,007,602300,2486,+40.697476,-080.303244"
"42,007,602400,1952,+40.692632,-080.312505"
"42,007,602500,1295,+40.685933,-080.327426"
"42,007,602601,5249,+40.698383,-080.382918"
"42,007,602602,3541,+40.704139,-080.332233"
"42,007,602701,1838,+40.657639,-080.404901"
"42,007,602702,3420,+40.683839,-080.473496"
"42,007,602800,2433,+40.640518,-080.455364"
"42,007,602900,2684,+40.588851,-080.464578"
"42,007,603000,2793,+40.607630,-080.373332"
"42,007,603202,7157,+40.643193,-080.294543"
"42,007,603300,3811,+40.680098,-080.275621"
"42,007,603400,1814,+40.691117,-080.277262"
"42,007,603500,1496,+40.684807,-080.251769"
"42,007,603600,2168,+40.665076,-080.234870"
"42,007,603700,3904,+40.639277,-080.223620"
"42,007,603801,2931,+40.667252,-080.205903"
"42,007,603802,3145,+40.658432,-080.166272"
"42,007,603803,3022,+40.620161,-080.184629"
"42,007,603900,3187,+40.603897,-080.217869"
"42,007,604000,2594,+40.596953,-080.223398"
"42,007,604100,2779,+40.585017,-080.224516"
"42,007,604200,1599,+40.594706,-080.230717"
"42,007,604500,2269,+40.618887,-080.253718"
"42,007,604600,2880,+40.612949,-080.274980"
"42,007,604700,1469,+40.606123,-080.274697"
"42,007,604800,4875,+40.585902,-080.253162"
"42,007,604901,4026,+40.603951,-080.284563"
"42,007,604902,4978,+40.573904,-080.269265"
"42,007,605001,2248,+40.545444,-080.334003"
"42,007,605002,3459,+40.522930,-080.439384"
"42,007,605100,4680,+40.829856,-080.229319"
"42,007,605200,2511,+40.773012,-080.337336"
"42,007,605300,2998,+40.823261,-080.357558"
"42,007,605400,3489,+40.723700,-080.304977"
"42,007,605500,5011,+40.660020,-080.313222"
"42,007,605600,3276,+40.712422,-080.274964"
"42,007,605700,2620,+40.614914,-080.253834"
"42,007,605800,6105,+40.811090,-080.283584"
"42,009,960100,3573,+40.222353,-078.296591"
"42,009,960200,3382,+40.230437,-078.528274"
"42,009,960300,4833,+40.148851,-078.585455"
"42,009,960400,5202,+40.165983,-078.379062"
"42,009,960500,3327,+40.069021,-078.239908"
"42,009,960600,4847,+40.006938,-078.364484"
"42,009,960700,2865,+40.015536,-078.503586"
"42,009,960800,5105,+40.035473,-078.511883"
"42,009,960900,4699,+40.033987,-078.648898"
"42,009,961001,2747,+39.832983,-078.438079"
"42,009,961002,3043,+39.990742,-078.460627"
"42,009,961100,3954,+39.814097,-078.699001"
"42,011,000100,6076,+40.335102,-075.924174"
"42,011,000200,4041,+40.355504,-075.950218"
"42,011,000300,2373,+40.355426,-075.937583"
"42,011,000400,4114,+40.353153,-075.927864"
"42,011,000500,3702,+40.360526,-075.918425"
"42,011,000600,3449,+40.360973,-075.908551"
"42,011,000700,4361,+40.352571,-075.913126"
"42,011,000800,4658,+40.352220,-075.917710"
"42,011,000900,3018,+40.347049,-075.928837"
"42,011,001000,3510,+40.346064,-075.935755"
"42,011,001100,4448,+40.346079,-075.940737"
"42,011,001200,1854,+40.340864,-075.935633"
"42,011,001300,3514,+40.340951,-075.928747"
"42,011,001400,4833,+40.345709,-075.918687"
"42,011,001500,3897,+40.345574,-075.913842"
"42,011,001600,2869,+40.340840,-075.913099"
"42,011,001700,3353,+40.340476,-075.918704"
"42,011,001800,3006,+40.332023,-075.905960"
"42,011,001900,2860,+40.334377,-075.916304"
"42,011,002001,1443,+40.326952,-075.902047"
"42,011,002002,3268,+40.328424,-075.908875"
"42,011,002100,3290,+40.329470,-075.915554"
"42,011,002200,2282,+40.329945,-075.920759"
"42,011,002300,2302,+40.328804,-075.925998"
"42,011,002500,3499,+40.334625,-075.933628"
"42,011,002600,3456,+40.321182,-075.945235"
"42,011,002700,2125,+40.317908,-075.950325"
"42,011,002900,3511,+40.315671,-075.932788"
"42,011,010100,5915,+40.483495,-076.263150"
"42,011,010201,4444,+40.469761,-076.009868"
"42,011,010202,5209,+40.532051,-076.040375"
"42,011,010302,3027,+40.435500,-076.081089"
"42,011,010303,2023,+40.442918,-075.970147"
"42,011,010304,6637,+40.395215,-075.991986"
"42,011,010401,1616,+40.430192,-076.292960"
"42,011,010402,7221,+40.418015,-076.185007"
"42,011,010500,6658,+40.358144,-076.162244"
"42,011,010601,2776,+40.330589,-076.081618"
"42,011,010602,6230,+40.341788,-076.053039"
"42,011,010701,2941,+40.312253,-076.110364"
"42,011,010702,4722,+40.315707,-076.065283"
"42,011,010801,1953,+40.278835,-076.052217"
"42,011,010803,5948,+40.312866,-076.006455"
"42,011,010804,3646,+40.302456,-076.023729"
"42,011,010902,4286,+40.323982,-076.022233"
"42,011,010903,6062,+40.342183,-075.999435"
"42,011,010904,3797,+40.341328,-075.991551"
"42,011,010905,5261,+40.320487,-075.992526"
"42,011,011000,4765,+40.332580,-075.986420"
"42,011,011101,2530,+40.343726,-075.961827"
"42,011,011102,5581,+40.323802,-075.969406"
"42,011,011200,4553,+40.333912,-075.947215"
"42,011,011300,3001,+40.308457,-075.944111"
"42,011,011400,5475,+40.304184,-075.967904"
"42,011,011500,2927,+40.286910,-075.986888"
"42,011,011601,5536,+40.299898,-075.958056"
"42,011,011602,4545,+40.289015,-075.991643"
"42,011,011603,5538,+40.280258,-075.928804"
"42,011,011702,4602,+40.235287,-075.979762"
"42,011,011703,4288,+40.158814,-075.877157"
"42,011,011704,2527,+40.241056,-075.902209"
"42,011,011705,5011,+40.238796,-075.864562"
"42,011,011800,5106,+40.261220,-075.809231"
"42,011,011902,3886,+40.241629,-075.773082"
"42,011,011903,5175,+40.301208,-075.732578"
"42,011,011905,3411,+40.273871,-075.755162"
"42,011,011906,4810,+40.270147,-075.730152"
