"GEO_ID","NAME","H1_001N","H1_002N","H1_003N",
"Geography","Geographic Area Name"," !!Total:"," !!Total:!!Occupied"," !!Total:!!Vacant",
"1000000US420030201004051","Block 4051, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201004052","Block 4052, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania","1","1","0",
"1000000US420030201004053","Block 4053, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201004054","Block 4054, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania","3","3","0",
"1000000US420030201004055","Block 4055, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201004056","Block 4056, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201004057","Block 4057, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201004058","Block 4058, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania","2","0","2",
"1000000US420030201004059","Block 4059, Block Group 4, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201005000","Block 5000, Block Group 5, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201005001","Block 5001, Block Group 5, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201005002","Block 5002, Block Group 5, Census Tract 201, Allegheny County, Pennsylvania","236","172","64",
"1000000US420030201005003","Block 5003, Block Group 5, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201005004","Block 5004, Block Group 5, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201005005","Block 5005, Block Group 5, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201005006","Block 5006, Block Group 5, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201005007","Block 5007, Block Group 5, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201005008","Block 5008, Block Group 5, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201005009","Block 5009, Block Group 5, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201005010","Block 5010, Block Group 5, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201005011","Block 5011, Block Group 5, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
